title,text,link,pub_date,source,search_query,stage2_reason,credibility_tier,credibility_score
"Dabur to acquire a minority stake in the luxury skincare D2C company RAS Beauty, for Rs 60 crore","Dabur to acquire a minority stake in the luxury skincare D2C company RAS Beauty, for Rs 60 crore",https://news.google.com/rss/articles/CBMiiAJBVV95cUxOWTBSSFNqMHlPZVNOM084T0NwQ1Fia202UVFTOC1RRGdobzdGOEFlaThxMzFsTTlsQmRHSjdFdWhxLTJBY0IwTmx2R0pEQjIzNnFxcWVSdkNuVWpHdk5pX21hcDNodHRnQTZydEhTUzRpUTVmWFNhN09heF8wajJNdUhITEFVbENOd21uSjVNd1pUSmYxNnFuNlFZM29aaENmQzVMajJ1R1dKVUc5WWJQbjU0ektBd0JVbmdCZ3NYRW00OVVJZWExeTN3dlRHQ0MwX0RVM1hEWWN4aHBmSXpRLXp4N0VEbXhtSjhMZWZDc0xPUkJnckhpNGhHV3RoYUhDd3R3U29JemHSAY4CQVVfeXFMTUNseGFFVVhCcDZIenVoZm9KY0VCc1BNdEMtMDJTaDR2clR0ZFlqSVdLbnNFcldsVmduYnRyamh5VFJEZjVNZWwyRGFBdXAwQ0NNR1dPY1FaWTZkcmpoLWRJUkNkeFFmc01RYXdRdFcyUkpaSHF4ZEFLcy1QTGdQRkdhazh5SUduVS00MWNhakpWejZkZHR0cURoTENFT0hQUlFOaUFXQUdHMS1fTU5sOENaTndGRWduMm9GT3VJeElOQjZtM3lSVWVHR2d6bWhMTUh1eEljdlFNZGxUVHdxVUQyc3FvTm5BdUxIOHRWXzRqbVpNZlJqOEhXVFlFTExJQVhPZDZsLTdhVVMtQ2NB?oc=5,"Mon, 02 Mar 2026 08:00:00 GMT",The Economic Times,FMCG acquisition India,passed: named FMCG company + deal verb present (exclusion check bypassed - trusted acquirer identity),tier_1,1.0
Emami Ltd to acquire 100% stake in Axiom Ayurveda in deal worth up to ₹200 crore,Emami Ltd to acquire 100% stake in Axiom Ayurveda in deal worth up to ₹200 crore,https://news.google.com/rss/articles/CBMi8gFBVV95cUxOUDN1RnhjNVBaZlIyZDlUZng1bi1wT2tIVGhvU0xtYVJWdGQ3VjM2LUJPVWxXVFl2RUJCUXhoaGt1N3ktUTJiWHBOYVJVUlV0cFduelpNb3ZGa3J0SkQ0YlR0RDQtWXQ4UkF3dzdtakplb3JyM0hza1gxbzU5cXhIWkFqUFdyRHRGNWVZV0M3SWt2S0tUSV9IeV9kcTdmLW53V3hZd1JHYWxVcDdvYVVNQ2NtQUI4YU5KQjVIOUNhSkNNUnRDdnhsUDZXVG8tLWoyVnhNNVJjVjEzMFlQbF9rbWhvN1BBUWc2M0ZaZjdERTQxUdIB9wFBVV95cUxNVGVxM1FwdGFBbjMzOVdKUVpGdTJZR0J3MkxXVzJEZ0R4SGo0aElDdU9MMWVBQkRNSlFHUklHZjRSTFdmMVRrNW9ta2ltWGdockFEaFpEdlZKMEcxb0pKNTdYcDdNdE5fQ3lGOXJNTVpIRDN6T3lRWnlHbmxIZnpibUttX1BvUGdhdFF6Z1lGSDQ3RU5fNzB1NUItYktRV21vY3RNMzdtUjRKdzRRLXo0TTQ4Vi1hNjFNeXk0cWhQdEhxWk5MUDZURU9Scm1wcWtJQkpNVlVvTjZIMHItQmlVTVgyd3U1Qkx5SEtvSmRubld2dEtDZDdn?oc=5,"Thu, 02 Apr 2026 07:00:00 GMT",The Economic Times,FMCG acquisition India,passed: named FMCG company + deal verb present (exclusion check bypassed - trusted acquirer identity),tier_1,1.0
Marico shares to be in focus after FMCG giant's arm announces ₹261 crore Vietnam-based Skinetiq acquisition — Details,Marico shares to be in focus after FMCG giant's arm announces ₹261 crore Vietnam-based Skinetiq acquisition — Details,https://news.google.com/rss/articles/CBMilAJBVV95cUxQRzVvUEhUYk9pUHc4Y3UtZkdvZ3c4Y3dUM0pNLWFaNjNRTkhEaE84WEcxdFk1UHJJd0RVREhlX2tmTXBHVUpWWUl3dEdycDhkSlRkWVVjeTY0ZG5tNW9ncF9NNjhzQzJOM3dLUEJEQml0SUpCSFVNc0dYQmFhYTNneGJKN2RrS3ZjeTdKWFQ4RjlVdERQeVBlTUlfeTRMOFZBaWpLRHJrZnc5Rm81WFpVV1NZbnFzRjkzUzN4U0pybjhvVTRyS3c3NkZGeEYwelFnRm16dHBXbEoyY0JrMlVHaVlDNDFEWHE1YUdpTVBtQ0RrajRpLWlEUFhMSXMyWnhLckJwQ3RtTldzZl9mVURNNVZacjbSAZoCQVVfeXFMUE9MOGxVNXZVLUlWbFJiMWVGX1prODM0YWRaczZkYW9uYVM2U1lJRlVodWhwT2tvYVVoa0VUazNXZkhkWk5DeHJqUHg4NkEzUGpMd24yWTlySXVOV1haUHB2VjZoc1I3YzB1QjFhblM2NEFpMHdNVmExbExlWGZPNUstWVU5SkdXX01oQXEzdnhyQUU3X3RpSFRNNnFieGdIN3NSaFA3OTA5cFhCeWhSMGo3WlpVMjBZdG03dUdkNFE3dTNUallZbm4zZVh3a2gyU0FKZnpLdXFWcEVjS0FxQVQyT1VoSFVPQ01NQmxDM3RVaFNqcGZWNmRsNF85NmFYdzBidG1ldzNGSWMwaGtFTW54MWVnVGkzTVln?oc=5,"Mon, 09 Feb 2026 08:00:00 GMT",livemint.com,FMCG acquisition India,passed: named FMCG company + deal verb present (exclusion check bypassed - trusted acquirer identity),tier_1,1.0
Godrej Consumer acquires Muuchstac in Rs 450-crore deal; promoters to continue to run business,Godrej Consumer acquires Muuchstac in Rs 450-crore deal; promoters to continue to run business,https://news.google.com/rss/articles/CBMihgJBVV95cUxQVHRGaUYzRlViOVVaU3dSdnFBYnpFSHRkTFZTZTdhNktmY0l3SHRrMUE4Mm9PRjAxR1JMUUt4b21jN3VUclFtSnlSR0xUZXRyXzVRdlF2RzFndFQ1RG1iU1pMSGk1cTZZSFoydHVwY3ByRlFhYl9FbEQ4NXdyR3lwMmROX1p5cl90TS03Z1NqNmdrYUZCVmVMeVozdEI3T2N5dTVzNzVmaEpaTUdRVGMyUFV0eDNxX0NrSDBmX0d6V1k2aDhZc0pRd3U3T2NtM2pLX3YwR191UWxJWVVTMGNoeHh5WVRKYjVmczByTDQ5SDkxaHU1Zi1qWWdublFsTkp6VXBhUG1n0gGLAkFVX3lxTE50azZoaDlhQXpia3p3aTVSZnd6RVhabzlETU1mMXZQSjctMDdkVEJ6SkQwMXpQQ0RvcGpyeFhsdEI2ejFOcWJQN00wZUNmLXhJdUU3eTFsbTV0V3JnbHZzQVlKQ1ZZeFZHV1FzZkVkVG0tSkdsVlBDbTdFQ0xoelozbnF4LVhpbms4X2pEZmp2QVJrdFo5NUU4cWNiSENEbWZFNklJZ0tTVHBVREtxeUlKNHJuczlkbk5FN0k3ZlVjdnhGMjBSZGx4UTR0TGlxeHFIMTVCakZ4YjJ3WDhrUzRKLTZFTTRwMDlqTkRwaWpER3NMYlBBVTdnVVFoRnFuVWdXUmF5RndNSHZLRQ?oc=5,"Thu, 13 Nov 2025 08:00:00 GMT",The Economic Times,FMCG acquisition India,passed: named FMCG company + deal verb present (exclusion check bypassed - trusted acquirer identity),tier_1,1.0
Godrej Consumer Products signs pact to acquire Muuchstac in all-cash deal,Godrej Consumer Products signs pact to acquire Muuchstac in all-cash deal,https://news.google.com/rss/articles/CBMi2AFBVV95cUxPOHJHSFdqOXU4ZF9WbFg1cFRpX3M3UnBLanFKakxsdER0cDNzU2I0OWwzU0hMZjc5RlkyUWx1ckczYXJYU3Y1Xzd2cVBHT1B6b0prV09ZRjE4Wi1mb0s3empLRElfMV93eXRvTjZtNDgtMXREMUphVmxrNGVWZEo0aEpoNTFCakVOOXptV29kX1NpdzltOTNKU01KazlIUWVKdGhIeVRVYVhIYVJSTE5fem9JWFdWWGZaUXZtc0dmSWdZaUZBZVRJR1pLV3FxY2x4aWJRanEtS3nSAd4BQVVfeXFMTnpHWldNSjRURC0xNGtXY0dmaU02Z0Q5bE5QMFZxd3RNTWluWktPSWhJSFJOd3kyOExVT2p0eFdRVHR1cWhTVURxVXQ0SVBDRnVSU2c0T1BpRDZIV2FVR0kwSXFsR1RUVU9yQmZUaUZfNVd2ZHBXUGw5aExoeHRnWGwxWHNzWmFNZ2thbGxzb3p0S2RVQThFaUkxUUtienhJZU1STmFFUS1oSVdmbDNjTC1YTF9UWDE4V1hnOFF0azBlRTQ1cmtDTWFyWGhFeDlBcy1aSXlLWDA0ZkpKdWxR?oc=5,"Fri, 31 Oct 2025 07:00:00 GMT",Business Standard,FMCG acquisition India,passed: named FMCG company + deal verb present (exclusion check bypassed - trusted acquirer identity),tier_1,1.0
"Adani Wilmar eyes FMCG expansion, sets aside $1 billion for 3 acquisitions","Adani Wilmar eyes FMCG expansion, sets aside $1 billion for 3 acquisitions",https://news.google.com/rss/articles/CBMi2AFBVV95cUxOZ2NhMFZwbWZweGk0cFYzZ2lfRWdlVENjYldBUUstOTQ0UVVQeVZlcl83M3hHTXhjeUJjeUo2cldMRnhSMWNUNmItaFZvSFNBOVpKRVhtXy1TZGtVNi1EVVd6Rjl1SzZ1MXFuUnVRWjhjX0RKWE43MXVSTFFYU3dZR2IwRWk1Zm1CU0I1YTQ4RVl3NjhoWGtRV2dYM3dxYndwa2pBOC1NTS1FX1FKbi1iMVFyLXdrY2FRSFhpYTlTZDdfRHFQQTNhTGpzS3Z4Z3puSDZyQnotM03SAd4BQVVfeXFMTTZjUG1IclRHWmFLTC1DUkp3NFRJb1RuODBuYm5KNXJCTm4waTYyeDl1VmxZOVFLMVZuMl9MNWJFVlZLU3FXSjRkbjBuTlZZNXM0ZktRQkp5ZjVWRDhmc2FiaFNLeS0zMXh0V24tbWQwc1hVbjc3bmFyRjFwN3k5eHB6c0l6RVBBU2dTdXQwMnR4dHBnVW5ibWNGV0I0SkZ4RzN0NXQ1YU9tTGJXX1gtR0llU3B5RS1objNRUl83UkFkUm14azRaNGVzQVFTSXZITTFqR1pOUXlLOHJZeGdB?oc=5,"Mon, 02 Sep 2024 07:00:00 GMT",Business Standard,FMCG acquisition India,"passed: FMCG entity + deal verb present, no exclusion hints",tier_1,1.0
"The Man Company acquisition: Emami to acquire remaining 49.6% stake, gaining 100% ownership of Helios Lifestyle","The Man Company acquisition: Emami to acquire remaining 49.6% stake, gaining 100% ownership of Helios Lifestyle",https://news.google.com/rss/articles/CBMi-wFBVV95cUxQZ2pLZHUxa3BDclpnYzRhX0EtSU1XZUhiV1p6di04cE02T0NUS1paVjUwUE9TdVVuUW13MTZUMVBXWDZZdFM1b0RpR2t2R2E3YzlrdE9VUmJ4Y2ltRnljOFhLSnQ4MzJJa0UwWk9Ua2c1LUlHdnJ3TmpoY084c0RpRTAybjU3VENsU2p6MkZ4UldmSUdZWUpzd1ZlUm9rNTdnSnhLU3R1ZlZsWWYtdFdYZ0c4YmdENWQzZVVienpKUmVqVmxEbkNGczMteFkwbC1iNWpBRzF4VTZ4WXJ4aUpRbzdUOGd4MTlQQVcxNWtaOFpOOHZvUE1YR3U2WdIBgAJBVV95cUxPZFFRRWFVOU1yN2FYV0dtMVozSHo3cTIwRTA0RGtUakVIZmN4ZWJ6eHVoWURBUU53YWQ3NVBob1lSYXQwb0pqY3ZvUkxpVENxcFpoNXhyeEV2UDNHR092T1NJQXZrQ29GMHFLYXg5aDhmc0xrTzljQW5UY1U1dnBIb2FNUEpRQkhpQVUtelN3MHNWaU0tcXMtWWUtaFZ4aHlhRUxNMzJTM3llQWpHdngzQ2hqblpWOEZyWGFicjN2U3RsaGx2WnpBc1pidEtmOE1GeXdpM0JCN2JhMTdMaGNIZXZQVUMzLXJBRjhLV01QMzlnZEZJcEEtdThMbTZORUxS?oc=5,"Sat, 31 Aug 2024 07:00:00 GMT",livemint.com,FMCG merger stake investment,passed: named FMCG company + deal verb present (exclusion check bypassed - trusted acquirer identity),tier_1,1.0
"HUL acquires majority stake in Minimalist parent co Uprising Science for Rs 2,706 crore","HUL acquires majority stake in Minimalist parent co Uprising Science for Rs 2,706 crore",https://news.google.com/rss/articles/CBMi_AFBVV95cUxOWTZqWUFvRTdabHpJa09leC1QTlphWGYzSFdXWXQ0bXdqVFR0dUdHem9naTZBM2FnWUdkVEZIa0NGdlRnNFMyd082bHJpcVhyUVVnUkZZOU4wNFNvNmw5R0tIMGNuZmxITUJDWE1OdFhnRG5lcHlvdzB4ZGxLUVdkeVAtVjY1UDBBMGFjSVZxcUI5dWZaU0VmYnYzR3FrUDBYbTItVWRpYVQ4VWt0T0JQc0NuSVZKUTRLZ1ZGbkRZekRmT01NckRNdDFlb0FzQzlIZUpOaVVEMTdmQ3BVeEd2WlNGR0F0bXV0eXpjQjZoSXpFblpOSGRZVWtuTVDSAYICQVVfeXFMTTZ2c2FPZjBkblF4NWhKUGhIdG05TTZaMWFhbUROajU2SmR0Z2J5VG85NVVoY2g1cHBMYVlSYTFFdXlHWlM3emd0Zm03cE82R0NVRlo0RkdtREltNDJhWDhySG1YZjRoTUM2ZFprQWJwSWN1RmVXZ3BxaWxFRDNRRmFWM1VwRy02Z3hUdm9rQzlOV2NqMmhxLUR6STB2T0VUV2xCYnk0N3JFeVYyQXVvY1BZUk9SRlQ5YVZOVjBwUDZVNFBYZXVETHZaakZDMF9KdjMwSE1FRzMzRXhaMHp3aUI4ZHZqazdteVVqcHluZTYwWkxWcVlGc1ZsUWR1c3FHenJ3?oc=5,"Mon, 21 Apr 2025 07:00:00 GMT",The Economic Times,FMCG acquisition India,passed: named FMCG company + deal verb present (exclusion check bypassed - trusted acquirer identity),tier_1,1.0
"Reliance Consumer acquires SIL, gears up to challenge HUL, Tata in FMCG","Reliance Consumer acquires SIL, gears up to challenge HUL, Tata in FMCG",https://news.google.com/rss/articles/CBMiygFBVV95cUxQcXdzNWF4VmhxVHhuVDFyUFh1eUw2My1MeTd0bTNGeFZncnQ1Q1FXNzVtUXhxdlJGTUUtQlV3ekUwcDRpTWp2cWFXZkpqSC1XeXQzM01hYnhWT285amRGX3ZvNG9kdkFYa2kzR3JRcDdjVGJlOTJVQzlCX1V2aHFPckhwRkhLOHJFRWhMRlNRWlJWdDVDcmNCQ25TV1l1QVNKRkx1dGJXMFcxVmZNNUJ3RnROVVJrVnl0R2dhNllkenNvQnhGNnI0UzZB0gHPAUFVX3lxTE1lUWZ6UkhpTUNLV1RzWV9uempDUG95aXVEZDRrZkVkdWJXZTI4RUhUaHFrWUVFd1gzRlY1a3l1cmlaLW1CemRmejJpUGsxSWVOVVVwNTNXRm1mMWw1a3ZYeFQwOUx5dFplZENMampsbjk2TlZ0dGhyMUY5U09TV2NqbzhLaHh6Z2k3Q3p1ZEFpQ3hPckwzbXU5clNGOWRkRk1BcEt2NGktSUEyT3pMM1E3X2tqdGx5OV8tczVWcVB0d21LMzBQc2libm9USTFWWQ?oc=5,"Wed, 22 Jan 2025 08:00:00 GMT",Business Standard,FMCG acquisition India,passed: named FMCG company + deal verb present (exclusion check bypassed - trusted acquirer identity),tier_1,1.0
"Parle, Britannia emerge India's top chosen FMCG brands, says Kantar","Parle, Britannia emerge India's top chosen FMCG brands, says Kantar",https://news.google.com/rss/articles/CBMiywFBVV95cUxPWV8wTEt1eGUxcFJxcVhPQ2N6Y0sxYkY5X3MzTE1ONUZBWGtjMnIwakVQZzlaa0NHWnZiZ3FkakZjMDZtQ1ExTWcxNVhiUlpyeWdqS2o4T3pFeEdZcXVUUUNrT3hYblp5UmljaldvZV9zQ3BNOGI4WThzNUdwc2NuQmNUZ0t6aktmc0NfTmpoTmU2RmRBM3VOR1hjZHpXMnpVc3JIbklGUTFqWlFRQlJSR0JaZFhMWnEwNWVkZlpoRWhvb1ZfbjFpSmxsd9IB0AFBVV95cUxNQTFMWXhvVWVRV24tTklpQlZFUE1uZElrd01nWnhERUdiRS1XQTNjaXh0eDdNamNIS1FLVFBwNC1zZDltWFhFNldkclpmZ24wT0F3M0U2dWR2QjUyTzJJUkdfMUktdmtfbmNyMEItRnJQcjQ2RU5uaHFpbzFDWlQtbkNaZi1HT09vQWR6azlrOHA1U0FqemhxVmRkS3JLTVg3NXhuNnJRbm5OUFZEdl9Wem1XbWtDdEptLVRoMmF0amVFRnZYMXpReGl4SXc0RzNW?oc=5,"Thu, 25 Jul 2024 07:00:00 GMT",Business Standard,FMCG acquisition India,passed: named FMCG company + deal verb present (exclusion check bypassed - trusted acquirer identity),tier_1,1.0
